epoch,ICLs1_F_nodecay_128_00015_008 - valid_map_head,VC2vision_B_nodecay_016_00015_32 - valid_map_head,VC2_B_nodecay_128_00015_32 - valid_map_head
0,0.183005258,0.258513629,0.283469141
1,0.330554157,0.312641084,0.397818148
2,0.439416945,0.327660739,0.46240741
3,0.48859781,0.342281908,0.488565832
4,0.541010559,0.359840393,0.513621509
5,0.557829976,0.367570609,0.527346015
6,0.580040336,0.365792394,0.53976202
7,0.600054085,0.380515277,0.542487144
8,0.613546848,0.386342198,0.551691592
9,0.626928568,0.379596889,0.550643027
10,0.645088494,0.393485129,0.551548779
11,0.649232328,0.39583987,0.554690123
12,0.661456943,0.400237411,0.559370697
13,0.667412817,0.402059227,0.565269113
14,0.671711624,0.399925232,0.564767599
15,0.683559179,0.410114139,0.568503916
16,0.681342661,0.409503818,0.567299306
17,0.690741718,0.41131717,0.565562844
18,0.690164983,0.413776517,0.569393516
19,0.68472302,0.419197589,0.571389377
20,0.698650897,0.419320345,0.575849891
21,0.694336951,0.419594675,0.576128483
22,0.70136708,0.423514098,0.575893521
23,0.705759406,0.424030572,0.574873209
24,0.697697222,0.423989564,0.572860539
25,0.696619749,0.427493155,0.577593148
26,0.699362278,0.425810099,0.577614784
27,0.701766491,0.425135404,0.581547379
28,0.697610915,0.426642299,0.582236707
29,0.709636688,0.436266541,0.580788195
30,0.704229653,0.434429944,0.578837037
31,0.706576943,0.430405319,0.5775491
32,0.701694548,0.433221966,0.582901955
33,0.703777194,0.443714678,0.581960142
34,0.702013135,0.439626753,0.585247278
35,0.695066333,0.435624331,0.585660279
36,0.697017252,0.437222719,0.584211349
37,0.706439614,0.44542715,0.582356632
38,0.707928419,0.439379662,0.580995917
39,0.700984001,0.436374128,0.585995853
40,0.695310235,0.440552384,0.584661484
41,0.699119449,0.441366911,0.587542474
42,0.703497529,0.437039614,0.588262558
43,0.7023049,0.440938056,0.58728236
44,0.707569718,0.444538563,0.584517419
45,0.717275262,0.437800348,0.582925141
46,0.706011176,0.444892108,0.58807236
47,0.708944857,0.446476251,0.586607516
48,0.692018092,0.438153177,0.589664578
49,0.701917648,0.442938954,0.590310156
50,0.706271291,0.445338815,0.588873446
51,0.705157101,0.438385904,0.589263976
52,0.702687979,0.444617033,0.589595675
53,0.716098607,0.455110997,0.586735547
54,0.702226758,0.445738316,0.585180819
55,0.704844177,0.441257089,0.590039432
56,0.695710897,0.447100908,0.588633597
57,0.70231396,0.439555824,0.591251254
58,0.710147023,0.448006272,0.591778457
59,0.707941353,0.457546175,0.591758251
60,0.70714885,0.448696107,0.588310778
61,0.715915024,0.441982359,0.586633921
62,0.705105484,0.446912646,0.591202199
63,0.705394566,0.441664338,0.589826941
64,0.698830783,0.450255871,0.59261483
65,0.712993503,0.45956403,0.592819989
66,0.711153507,0.448863328,0.593106687
67,0.710449755,0.444942713,0.589594543
68,0.71702522,0.450474203,0.587632477
69,0.71628505,0.462307036,0.592196167
70,0.714745581,0.446984738,0.592741251
,0.717275262,0.462307036,0.593106687