epoch,ICLs1_F_nodecay_128_00015_008 - valid_map_tail,VC2vision_B_nodecay_016_00015_32 - valid_map_tail,VC2_B_nodecay_128_00015_32 - valid_map_tail
0,0.006728038,0.019012721,0.007164874
1,0.01483307,0.051016409,0.026000367
2,0.067099556,0.052595258,0.066319764
3,0.121429726,0.071987003,0.119152255
4,0.200611159,0.072614565,0.164186001
5,0.257459968,0.091263086,0.196644723
6,0.278785765,0.096276201,0.220416829
7,0.307701886,0.099072635,0.24290888
8,0.342332006,0.107136741,0.246305257
9,0.363409728,0.118547946,0.264975965
10,0.382068872,0.099291734,0.277342349
11,0.431229711,0.114489168,0.283975184
12,0.452455968,0.116313748,0.288895279
13,0.427079201,0.108784243,0.309744358
14,0.447648138,0.125836343,0.321062058
15,0.467694968,0.119368516,0.335369736
16,0.456814796,0.148310736,0.3501122
17,0.476202607,0.138980657,0.359443754
18,0.465144396,0.144206077,0.36395663
19,0.462361664,0.151954249,0.370805681
20,0.461570829,0.138194412,0.390999347
21,0.477261633,0.148158625,0.385505855
22,0.470362157,0.152658477,0.381464213
23,0.490748465,0.16249305,0.394423604
24,0.486475348,0.163777724,0.40091902
25,0.462074369,0.150933459,0.404929161
26,0.460522979,0.151126489,0.421275854
27,0.469103128,0.156546697,0.414836973
28,0.484723181,0.168478087,0.408615619
29,0.485440493,0.137746558,0.421030223
30,0.481610626,0.143998459,0.427898794
31,0.483678371,0.167584971,0.43310675
32,0.4733105,0.179071516,0.432406992
33,0.471365184,0.148825496,0.433167934
34,0.468465418,0.153429955,0.427446216
35,0.454762936,0.172559485,0.429923922
36,0.472479165,0.179513261,0.4352853
37,0.445409298,0.151764572,0.442156374
38,0.489682287,0.156728491,0.442055821
39,0.461021334,0.173913702,0.438510746
40,0.457889706,0.182381555,0.437879175
41,0.46666041,0.16448985,0.434974819
42,0.442563325,0.185117871,0.43736729
43,0.434517622,0.185066342,0.446050018
44,0.467713475,0.169342488,0.446193933
45,0.473027557,0.178911254,0.444229037
46,0.462706596,0.189373374,0.447522491
47,0.457460612,0.168813318,0.437828541
48,0.470818698,0.181787655,0.43517068
49,0.480180621,0.19024165,0.443176776
50,0.459725052,0.178337127,0.437216073
51,0.458167613,0.180842131,0.441428095
52,0.462323993,0.189827159,0.447315723
53,0.478138775,0.159839243,0.450574011
54,0.473364472,0.172400564,0.452297449
55,0.474773169,0.183142513,0.451770365
56,0.457981259,0.180138484,0.443894863
57,0.462997347,0.183019683,0.438167483
58,0.460657716,0.19194591,0.446567029
59,0.468421936,0.162510037,0.450637102
60,0.477569312,0.176190466,0.452528417
61,0.481596291,0.187156931,0.453147739
62,0.4840509,0.175230816,0.457425714
63,0.45938167,0.186114311,0.447805464
64,0.471285969,0.188945472,0.443067282
65,0.456044674,0.168887928,0.451911539
66,0.474133521,0.179272071,0.455557078
67,0.461164027,0.185783759,0.457979977
68,0.453575999,0.197765395,0.456311405
69,0.467597634,0.183825031,0.457769334
70,0.471750468,0.193917289,0.450995177
,0.490748465,0.197765395,0.457979977