epoch,ICLs1_F_nodecay_128_00015_008 - valid_MultilabelAveragePrecision,ICAFLs1_F_nodecay_128_00015_008 - valid_MultilabelAveragePrecision
0,0.03493451,0.036321286
1,0.080231436,0.095471747
2,0.168744892,0.169867724
3,0.223671377,0.238326311
4,0.291696817,0.29358077
5,0.342084259,0.327462077
6,0.363302588,0.370525271
7,0.389245301,0.409979135
8,0.418915033,0.433405012
9,0.437287807,0.453885227
10,0.452913225,0.471438617
11,0.489479899,0.498248667
12,0.50498122,0.498262137
13,0.494063854,0.518100917
14,0.506407976,0.525223553
15,0.523465931,0.528938115
16,0.515935779,0.525382102
17,0.533098578,0.541261792
18,0.523816705,0.546572268
19,0.525448501,0.544181049
20,0.52492857,0.535598993
21,0.535902739,0.545566738
22,0.530862391,0.552935362
23,0.547564983,0.547443032
24,0.53972739,0.550865471
25,0.526769102,0.547706306
26,0.525068998,0.541286051
27,0.532060564,0.545179725
28,0.543919027,0.541603148
29,0.54792279,0.545949876
30,0.540591836,0.549500227
31,0.544004321,0.543756068
32,0.535729289,0.541891813
33,0.534788013,0.543734908
34,0.533503771,0.554501534
35,0.520509601,0.550935388
36,0.535391688,0.545394301
37,0.520262539,0.542145491
38,0.54673034,0.550149143
39,0.524762452,0.543085158
40,0.523302078,0.540174127
41,0.530844152,0.547208905
42,0.515893817,0.548099518
43,0.507652879,0.538208723
44,0.535146654,0.546211362
45,0.542278886,0.545215786
46,0.527999818,0.539385319
47,0.52415216,0.531225443
48,0.532473803,0.550806046
49,0.542340457,0.542231143
50,0.529773593,0.536628783
51,0.524204671,
52,0.528544068,
53,0.543110609,
54,0.534182072,
55,0.537336588,
56,0.524841547,
57,0.53007549,
58,0.529892683,
59,0.533348501,
60,0.542217076,
61,0.54539597,
62,0.543689609,
63,0.528665066,
64,0.532515645,
65,0.528816104,
66,0.540280581,
67,0.529722691,
68,0.525508881,
69,0.5369187,
70,0.534005821,
,0.54792279,0.554501534