epoch,ICLs1_F_nodecay_128_00015_008 - valid_map_middle,ICAFLs1_F_nodecay_128_00015_008 - valid_map_middle
0,0.026918003,0.028720416
1,0.116154917,0.142215461
2,0.293980956,0.295922697
3,0.353941232,0.376316607
4,0.399958968,0.417019278
5,0.451977104,0.453122199
6,0.472313583,0.479551047
7,0.493427068,0.512878895
8,0.518724918,0.539491594
9,0.5324682,0.552666366
10,0.538134634,0.571431518
11,0.558530748,0.577724338
12,0.559962511,0.593685269
13,0.579540491,0.597631097
14,0.573628068,0.608340621
15,0.585392177,0.605747521
16,0.584104061,0.623087347
17,0.599603534,0.619157553
18,0.59017998,0.619944632
19,0.608288646,0.623690128
20,0.600056231,0.621621013
21,0.606818318,0.631097078
22,0.599895,0.648438811
23,0.613524735,0.643858433
24,0.595862806,0.633497834
25,0.607900381,0.633172512
26,0.603180707,0.635356247
27,0.608424544,0.643823445
28,0.61916393,0.637389243
29,0.627644479,0.642122269
30,0.609407067,0.636892617
31,0.6171996,0.636677265
32,0.612781405,0.633003712
33,0.612871885,0.645784557
34,0.616381347,0.644602418
35,0.601820469,0.661343157
36,0.616366923,0.642793059
37,0.620197177,0.64956969
38,0.61157608,0.649363399
39,0.599495709,0.647791207
40,0.605173171,0.643844187
41,0.611472011,0.643972576
42,0.610738933,0.64649725
43,0.597820878,0.638292909
44,0.62241888,0.645287991
45,0.633120716,0.652898073
46,0.60601908,0.64684087
47,0.602101803,0.628877819
48,0.611157119,0.646180868
49,0.622413933,0.656039536
50,0.621962428,0.645039141
51,0.602577209,
52,0.61141932,
53,0.623176813,
54,0.605543256,
55,0.613888681,
56,0.611424625,
57,0.616464376,
58,0.61760658,
59,0.612347722,
60,0.626100838,
61,0.623635769,
62,0.615643561,
63,0.618580759,
64,0.606041133,
65,0.624108374,
66,0.624868989,
67,0.615270495,
68,0.614156902,
69,0.625394046,
70,0.601940811,
,0.633120716,0.661343157