epoch,MSQ_TS_LLE,MSQ_VCVision_LLE,MSQ_VCDF_LLE,VC_DF
0,0.037811834,0.021999225,0.042102784,0.056519113
1,0.040276956,0.02407001,0.040387474,0.148203298
2,0.042602386,0.029524645,0.0432017,0.252518952
3,0.043667588,0.034888096,0.043624677,0.310605377
4,0.042676616,0.026125336,0.038615108,0.374726444
5,0.042190459,0.036075931,0.039811097,0.403921574
6,0.042561516,0.03810472,0.043105524,0.424745888
7,0.042100638,0.037748136,0.040589686,0.4789626
8,0.044038232,0.033571415,0.043797642,0.498936981
9,0.041889064,0.034363881,0.040884327,0.481205255
10,0.041990694,0.02341811,0.037909955,0.518165529
11,0.042609982,0.033887517,0.042689487,0.512109458
12,0.042753268,0.034804419,0.04080496,0.533497512
13,0.044406138,0.030998001,0.038921099,0.535134792
14,0.046306152,0.034997866,0.040129974,0.550377548
15,0.04097452,0.035088502,0.040642552,0.553046346
16,0.043307275,0.035180852,0.038446408,0.533390403
17,0.041553307,0.034330253,0.05306641,0.545958757
18,0.040029097,0.034905452,0.157682747,0.535239995
19,0.046406474,0.040145472,0.186871558,0.552562058
20,0.042321734,0.034905825,0.227292612,0.548646748
21,0.042479176,0.034175348,0.267737329,0.555043876
22,0.045975544,0.0356302,0.279843211,0.543050706
23,0.044566114,0.035405513,0.309545994,0.538018167
24,0.041512318,0.034978043,0.32763809,0.521899819
25,0.044919331,0.035110753,0.331344187,0.54083842
26,0.042065527,0.036172759,0.327786177,0.540523708
27,0.041228946,0.033731993,0.327970892,0.544307649
28,0.041504055,0.035940547,0.34334293,0.538620174
29,0.042480953,0.035156228,0.344343156,0.531942904
30,0.046001811,0.035940245,0.345015228,0.533274591
31,0.043475691,0.034880653,0.371805698,0.539875686
32,0.043251485,0.039257973,0.357566327,0.541852951
33,0.041801844,0.034611668,0.370418757,0.531237006
34,0.041850436,,0.368046999,0.536146522
35,0.041499507,,0.382328928,0.532887161
36,0.044253822,,0.37776041,0.533576846
37,0.042249113,,0.377908468,0.532619059
38,0.041736942,,0.356935948,0.53942591
39,0.043232631,,0.383760273,0.538830101
40,0.042390533,,0.365493655,0.528131604
41,0.045311313,,0.378424942,0.536131442
42,0.045554973,,0.380594939,
43,0.046910811,,0.352900714,
44,0.045433979,,0.362326682,
45,0.043291263,,0.377174795,
46,0.040304229,,0.374354154,
47,0.042116594,,0.392986983,
48,0.041712236,,0.369644821,
49,0.045423377,,0.363733113,
50,0.045668602,,0.388791144,
51,0.045933604,,0.379764557,
52,0.047890849,,0.393970817,
53,0.047534566,,0.389100343,
54,0.041756231,,0.390233725,
55,0.042529032,,0.359834075,
56,0.040742405,,0.408192009,
57,0.043602917,,0.39714855,
58,0.043217734,,0.393181086,
59,0.044907134,,0.388249695,
60,0.047188677,,0.388841748,
61,0.045578014,,0.371183753,
62,0.042784233,,,
63,0.044698995,,,
64,0.041407049,,,
65,0.047196787,,,
66,0.045992114,,,
67,0.044545397,,,
68,0.042458765,,,
69,0.043145038,,,
70,0.048387825,,,