epoch,VC_AT,IC,VC_dd,VC_Vision,VC_Proj,,,,
0,0.187079325,0.031756666,0.040861588,0.070151694,0.056407817,,,,
1,0.245435238,0.086885579,0.126882225,0.114324674,0.107102916,,,,
2,0.293746412,0.16842705,0.233480617,0.126381725,0.169032842,,,,
3,0.326030165,0.224018097,0.317712784,0.146285355,0.216355324,,,,
4,0.348814607,0.270567536,0.375810087,0.154289365,0.254368812,,,,
5,0.357384503,0.306827515,0.407120198,0.167731434,0.283798456,,,,
6,0.373565495,0.330774337,0.43834725,0.170773968,0.30982402,,,,
7,0.377614588,0.363699585,0.45430997,0.17931354,0.328783661,,,,
8,0.401556283,0.385198563,0.492967784,0.186374545,0.328670353,,,,
9,0.418522984,0.417448759,0.529645324,0.191450194,0.344034821,,,,
10,0.429276288,0.43853876,0.521644533,0.185920194,0.352200091,,,,
11,0.43268171,0.442903161,0.524986088,0.195675954,0.357264042,,,,
12,0.437360317,0.480494231,0.541459918,0.197954729,0.362725198,,,,
13,0.43523553,0.472004324,0.559008479,0.194775835,0.378692508,,,,
14,0.446446002,0.476945579,0.545645535,0.204547986,0.38758108,,,,
15,0.453412056,0.502451777,0.552307487,0.202906042,0.396556914,,,,
16,0.460936874,0.50603646,0.551207185,0.221746519,0.40974462,,,,
17,0.472851664,0.51724726,0.540740609,0.216632321,0.413722306,,,,
18,0.475719661,0.522089243,0.548211873,0.221266448,0.418284148,,,,
19,0.493167132,0.518621027,0.549478292,0.226330429,0.423186302,,,,
20,0.473260254,0.51647836,0.555732787,0.218855008,0.436342955,,,,
21,0.489017248,0.518038273,0.55126667,0.226240918,0.435377568,,,,
22,0.488088161,0.518548548,0.559846222,0.226875648,0.432187974,,,,
23,0.490204871,0.510744274,0.545764685,0.235879675,0.444185317,,,,
24,0.494769424,0.530781209,0.531325281,0.237531871,0.445654064,,,,
25,0.498839259,0.518323421,0.539695323,0.227639601,0.449111402,,,,
26,0.500114918,0.521590352,0.543495297,0.228009567,0.458524078,,,,
27,0.503703058,0.518758118,0.540731013,0.23413676,0.455815971,,,,
28,0.496005565,0.512540936,0.550112486,0.241960987,0.454108268,,,,
29,0.485415846,0.523309767,0.548798203,0.224946514,0.460986555,,,,
30,0.503185749,0.519457817,0.543981612,0.226634756,0.46901077,,,,
31,0.510468781,0.535735726,0.555076063,0.242315769,0.46906355,,,,
32,0.505894601,0.522963047,0.529446125,0.250834674,0.469595373,,,,
33,0.514509499,0.521739244,0.534161925,0.232852235,0.468885511,,,,
34,0.500724077,0.528770149,0.528749704,0.234013259,0.466894686,,,,
35,0.49102056,0.512547791,0.556134641,0.247612655,0.469480574,,,,
36,0.496089488,0.498989552,0.54872489,0.252669215,0.472914398,,,,
37,0.508676589,0.521163702,0.541646481,0.236882523,0.479198217,,,,
38,0.50324291,0.513691902,0.544685543,0.237019613,0.476877332,,,,
39,0.502759755,0.543613255,0.5193699,0.249296576,0.475934952,,,,
40,0.447005212,0.539525926,0.512468934,0.255599022,0.47399509,,,,
41,0.474658102,0.526295185,0.516781569,0.242796555,0.473738134,,,,
42,0.483213037,0.531757057,0.526130676,0.256609648,0.475731909,,,,
43,0.479345798,0.53036654,0.530470669,0.257423162,0.481209993,,,,