epoch,ICLs1_F_nodecay_128_00015_008 - valid_MultilabelAveragePrecision,ICLoh_B_nodecay_128_00015_016 - valid_MultilabelAveragePrecision
0,0.03493451,0.030366912
1,0.080231436,0.121477172
2,0.168744892,0.182849169
3,0.223671377,0.217332661
4,0.291696817,0.247248694
5,0.342084259,0.26938954
6,0.363302588,0.296446443
7,0.389245301,0.300866693
8,0.418915033,0.314319998
9,0.437287807,0.317331433
10,0.452913225,0.322397023
11,0.489479899,0.334942639
12,0.50498122,0.347513258
13,0.494063854,0.340030521
14,0.506407976,0.354260534
15,0.523465931,0.361385375
16,0.515935779,0.356285304
17,0.533098578,0.349612355
18,0.523816705,0.357223839
19,0.525448501,0.360066026
20,0.52492857,0.364027947
21,0.535902739,0.372504085
22,0.530862391,0.358537555
23,0.547564983,0.362222821
24,0.53972739,0.360218167
25,0.526769102,0.373668551
26,0.525068998,0.368802369
27,0.532060564,0.368311375
28,0.543919027,0.376504779
29,0.54792279,0.369484931
30,0.540591836,0.368823528
31,0.544004321,0.37382561
32,0.535729289,0.376221895
33,0.534788013,0.375822783
34,0.533503771,0.377771795
35,0.520509601,0.362325042
36,0.535391688,0.372305036
37,0.520262539,0.369615495
38,0.54673034,0.376840979
39,0.524762452,0.38165018
40,0.523302078,0.380287856