epoch,ICLs1_F_nodecay_128_00015_008 - valid_map_head,ICLoh_B_nodecay_128_00015_016 - valid_map_head
0,0.183005258,0.174300328
1,0.330554157,0.373823851
2,0.439416945,0.479034424
3,0.48859781,0.53594172
4,0.541010559,0.582624197
5,0.557829976,0.597288907
6,0.580040336,0.61914748
7,0.600054085,0.619925678
8,0.613546848,0.622891963
9,0.626928568,0.63525176
10,0.645088494,0.638148904
11,0.649232328,0.640498579
12,0.661456943,0.637080789
13,0.667412817,0.64687115
14,0.671711624,0.652913749
15,0.683559179,0.65573287
16,0.681342661,0.650063574
17,0.690741718,0.655878603
18,0.690164983,0.651005566
19,0.68472302,0.653787076
20,0.698650897,0.653661311
21,0.694336951,0.658868134
22,0.70136708,0.668553352
23,0.705759406,0.668989182
24,0.697697222,0.673603952
25,0.696619749,0.664195597
26,0.699362278,0.657312751
27,0.701766491,0.670212924
28,0.697610915,0.675243318
29,0.709636688,0.668653488
30,0.704229653,0.66672039
31,0.706576943,0.675749362
32,0.701694548,0.67431885
33,0.703777194,0.668612897
34,0.702013135,0.669915497
35,0.695066333,0.662486613
36,0.697017252,0.676987827
37,0.706439614,0.675736248
38,0.707928419,0.671563864
39,0.700984001,0.678966045
40,0.695310235,0.672176719