epoch,ICLs1_F_nodecay_128_00015_008 - valid_map_middle,ICLoh_B_nodecay_128_00015_016 - valid_map_middle
0,0.026918003,0.0189327
1,0.116154917,0.213524967
2,0.293980956,0.303197891
3,0.353941232,0.364348173
4,0.399958968,0.396066725
5,0.451977104,0.414051771
6,0.472313583,0.43738234
7,0.493427068,0.457106918
8,0.518724918,0.464560002
9,0.5324682,0.476353139
10,0.538134634,0.459883481
11,0.558530748,0.480577588
12,0.559962511,0.489284337
13,0.579540491,0.501430392
14,0.573628068,0.501198947
15,0.585392177,0.514163196
16,0.584104061,0.508507431
17,0.599603534,0.51627934
18,0.59017998,0.514053762
19,0.608288646,0.505207002
20,0.600056231,0.513270795
21,0.606818318,0.518149436
22,0.599895,0.517082214
23,0.613524735,0.508082807
24,0.595862806,0.517718852
25,0.607900381,0.529449522
26,0.603180707,0.528244793
27,0.608424544,0.517261386
28,0.61916393,0.517204165
29,0.627644479,0.515335679
30,0.609407067,0.515358388
31,0.6171996,0.521437168
32,0.612781405,0.523876846
33,0.612871885,0.528208911
34,0.616381347,0.53050524
35,0.601820469,0.522821724
36,0.616366923,0.531697333
37,0.620197177,0.528884709
38,0.61157608,0.528812468
39,0.599495709,0.5257774
40,0.605173171,0.532969713