epoch,ICLs1_F_nodecay_128_00015_008 - valid_map_tail,ICLoh_B_nodecay_128_00015_016 - valid_map_tail
0,0.006728038,0.004252395
1,0.01483307,0.035560124
2,0.067099556,0.077599041
3,0.121429726,0.09782891
4,0.200611159,0.123580672
5,0.257459968,0.148778468
6,0.278785765,0.178260505
7,0.307701886,0.17796585
8,0.342332006,0.195768341
9,0.363409728,0.193673715
10,0.382068872,0.20690462
11,0.431229711,0.218672737
12,0.452455968,0.235982358
13,0.427079201,0.217846721
14,0.447648138,0.238972649
15,0.467694968,0.244910538
16,0.456814796,0.24012886
17,0.476202607,0.225663364
18,0.465144396,0.239416972
19,0.462361664,0.246456802
20,0.461570829,0.249808073
21,0.477261633,0.260258347
22,0.470362157,0.236709639
23,0.490748465,0.245618284
24,0.486475348,0.238056704
25,0.462074369,0.256920338
26,0.460522979,0.251166493
27,0.469103128,0.251621544
28,0.484723181,0.263432682
29,0.485440493,0.254478306
30,0.481610626,0.253838897
31,0.483678371,0.257610321
32,0.4733105,0.260794222
33,0.471365184,0.259815037
34,0.468465418,0.261775345
35,0.454762936,0.241866425
36,0.472479165,0.251292914
37,0.445409298,0.248345643
38,0.489682287,0.26057601
39,0.461021334,0.267649472
40,0.457889706,0.264363378