epoch,VC_AT_bs16,VC_AT_bs128
0,0.187079325,0.029541684
1,0.245435238,0.071872756
2,0.293746412,0.133142337
3,0.326030165,0.175970256
4,0.348814607,0.225810871
5,0.357384503,0.265486658
6,0.373565495,0.297618419
7,0.377614588,0.320492536
8,0.401556283,0.337947577
9,0.418522984,0.354366213
10,0.429276288,0.377450645
11,0.43268171,0.396291167
12,0.437360317,0.411422163
13,0.43523553,0.428291261
14,0.446446002,0.429899454
15,0.453412056,0.425395191
16,0.460936874,0.442773163
17,0.472851664,0.455747962
18,0.475719661,0.471825212
19,0.493167132,0.480634063
20,0.473260254,0.478631586
21,0.489017248,0.491916239
22,0.488088161,0.478521436
23,0.490204871,0.49538818
24,0.494769424,0.496243984
25,0.498839259,0.493900776
26,0.500114918,0.497515053
27,0.503703058,0.51966846
28,0.496005565,0.516706944
29,0.485415846,0.512835026
30,0.503185749,0.511731207
31,0.510468781,0.498232692
32,0.505894601,0.516001582
33,0.514509499,0.50283426
34,0.500724077,0.515358388
35,0.49102056,0.518035173
36,0.496089488,0.513207495
37,0.508676589,0.5279091
38,0.50324291,0.506977677
39,0.502759755,0.510262668
40,0.447005212,0.503706157